sample_name,date.x,doc_mg_l.x,tdn_mg_l.x,dups.x,date.y,doc_mg_l.y,tdn_mg_l.y,dups.y
TMP_SW_SOURCE_HR7,20220629,5.127,0.235,FALSE,20220715,3.981,0.33,TRUE
TMP_SW_SOURCE_HR5,20220629,5.151,0.272,FALSE,20220708,4.939,0.291,TRUE
TMP_SW_F6_T1,20220701,10.12,0.401,FALSE,20220708,8.994,0.369,TRUE
TMP_FW_E3_T1,20220701,4.082,0.105,FALSE,20220708,4.686,0.111,TRUE
TMP_FW_POOL_T2,20220701,8.726,0.213,FALSE,20220708,6.558,0.217,TRUE
TMP_FW_D5_T2,20220701,6.267,0.09,FALSE,20220708,4.633,0.098,TRUE
TMP_SW_F4_T3,20220708,7.068,0.597,FALSE,20220708,7.068,0.597,TRUE
TMP_SW_F4_T3,20220708,7.068,0.597,FALSE,20220708,6.384,0.476,TRUE
TMP_SW_F4_T3,20220708,7.068,0.597,FALSE,20220708,6.384,0.476,TRUE
TMP_SW_F4_T3,20220708,7.068,0.597,TRUE,20220708,7.068,0.597,TRUE
TMP_SW_F4_T3,20220708,7.068,0.597,TRUE,20220708,6.384,0.476,TRUE
TMP_SW_F4_T3,20220708,7.068,0.597,TRUE,20220708,6.384,0.476,TRUE
TMP_SW_F4_T3,20220708,6.384,0.476,TRUE,20220708,7.068,0.597,TRUE
TMP_SW_F4_T3,20220708,6.384,0.476,TRUE,20220708,6.384,0.476,TRUE
TMP_SW_F4_T3,20220708,6.384,0.476,TRUE,20220708,6.384,0.476,TRUE
TMP_SW_F4_T3,20220708,6.384,0.476,TRUE,20220708,7.068,0.597,TRUE
TMP_SW_F4_T3,20220708,6.384,0.476,TRUE,20220708,6.384,0.476,TRUE
TMP_SW_F4_T3,20220708,6.384,0.476,TRUE,20220708,6.384,0.476,TRUE
TMP_SW_SOURCE_HR7,20220715,3.981,0.33,TRUE,20220715,3.981,0.33,TRUE
TMP_FW_D5_T2,20220708,4.633,0.098,TRUE,20220708,4.633,0.098,TRUE
TMP_FW_POOL_T2,20220708,6.558,0.217,TRUE,20220708,6.558,0.217,TRUE
TMP_FW_E3_T1,20220708,4.686,0.111,TRUE,20220708,4.686,0.111,TRUE
TMP_SW_F6_T1,20220708,8.994,0.369,TRUE,20220708,8.994,0.369,TRUE
TMP_SW_SOURCE_HR5,20220708,4.939,0.291,TRUE,20220708,4.939,0.291,TRUE
