Date,Collar,T5
12/19/2018,101,4.6
12/19/2018,37,4.3
12/19/2018,82,5.1
12/19/2018,66,5.0
12/19/2018,48,4.3
12/19/2018,83,4.6
12/19/2018,38,4.4
12/19/2018,47,4.5
12/19/2018,81,4.3
12/19/2018,39,4.2
12/19/2018,46,4.2
12/19/2018,67,3.7
12/19/2018,48,4.0
12/19/2018,67,4.3
12/19/2018,102,5.4
12/19/2018,45,4.8
12/19/2018,103,5.5
12/19/2018,40,5.2
12/19/2018,84,5.5
12/19/2018,68,4.9
12/19/2018,104,5.0
12/19/2018,106,5.2
12/19/2018,44,4.9
12/19/2018,56,4.2
12/19/2018,54,5.0
12/19/2018,108,5.3
12/19/2018,86,5.0
12/19/2018,42,6.1
12/19/2018,53,6.1
12/19/2018,87,5.6
12/19/2018,41,5.7
12/19/2018,107,6.3
12/19/2018,59,5.6
12/19/2018,60,5.6
12/19/2018,85,5.8
12/19/2018,58,5.2
12/19/2018,105,5.8
12/19/2018,43,5.4
12/19/2018,55,5.6
12/19/2018,57,4.0
12/19/2018,88,4.9
